case_id,sanctioning_state_iso3,sanctioning_state,sanctioned_state_iso3,sanctioned_state,year,arms,military,trade,descr_trade,financial,travel,other,target_mult,sender_mult,objective,success,pure_years
"1406,1389,1391,1006,1390,1007",DEU,Germany,RUS,Russia,2022-01-01,1,1,1,"exp_part,imp_part",1,1,1,0,1,"end_war,policy_change,prevent_war,end_war,policy_change,prevent_war,policy_change,end_war,policy_change","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2022
"1006,1389,1007,1391,1406,1390,1523",DEU,Germany,RUS,Russia,2023-01-01,1,1,1,"exp_part,imp_part",1,1,1,1,1,"policy_change,policy_change,prevent_war,end_war,policy_change,policy_change,prevent_war,end_war,end_war,end_war","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2023
"1389,1406,1007,1390,1006",GRC,Greece,RUS,Russia,2022-01-01,1,1,1,"exp_part,imp_part",1,1,1,0,1,"policy_change,prevent_war,end_war,end_war,policy_change,end_war,policy_change","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2022
"1389,1006,1007,1406,1390,1523",GRC,Greece,RUS,Russia,2023-01-01,1,1,1,"exp_part,imp_part",1,1,1,1,1,"policy_change,prevent_war,end_war,policy_change,policy_change,end_war,end_war,end_war","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2023
"1389,1406,1390,1006,1007",HUN,Hungary,RUS,Russia,2022-01-01,1,1,1,"exp_part,imp_part",1,1,1,0,1,"policy_change,prevent_war,end_war,end_war,end_war,policy_change,policy_change","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2022
"1007,1406,1006,1389,1523,1390",HUN,Hungary,RUS,Russia,2023-01-01,1,1,1,"exp_part,imp_part",1,1,1,1,1,"policy_change,end_war,policy_change,policy_change,prevent_war,end_war,end_war,end_war","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2023
"1007,1006,1406,1390,1389",IRL,Ireland,RUS,Russia,2022-01-01,1,1,1,"exp_part,imp_part",1,1,1,0,1,"policy_change,policy_change,end_war,end_war,policy_change,prevent_war,end_war","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2022
"1389,1523,1007,1006,1406,1390",IRL,Ireland,RUS,Russia,2023-01-01,1,1,1,"exp_part,imp_part",1,1,1,1,1,"policy_change,prevent_war,end_war,end_war,policy_change,policy_change,end_war,end_war","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2023
"1406,1006,1389,1390,1007",ITA,Italy,RUS,Russia,2022-01-01,1,1,1,"exp_part,imp_part",1,1,1,0,1,"end_war,policy_change,policy_change,prevent_war,end_war,end_war,policy_change","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2022
"1390,1523,1406,1389,1007,1006",ITA,Italy,RUS,Russia,2023-01-01,1,1,1,"exp_part,imp_part",1,1,1,1,1,"end_war,end_war,end_war,policy_change,prevent_war,end_war,policy_change,policy_change","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2023
"1389,1406,1390,1006,1007",LVA,Latvia,RUS,Russia,2022-01-01,1,1,1,"exp_part,imp_part",1,1,1,0,1,"policy_change,prevent_war,end_war,end_war,end_war,policy_change,policy_change","ongoing,ongoing,ongoing,ongoing,ongoing,ongoing,ongoing",2022
